t,n_agents,n_in_store,n_in_vestibule,n_in_street,flow_left_door_per_min,flow_top_door_per_min,flow_right_door_per_min,contacts_lt_1m,contacts_lt_covid,avg_speed,avg_speed_store,avg_speed_vestibule,queue_front_cashiers,density_store,density_vestibule
4.256999999999996,20,4,0,0,0.0,0.0,0.0,41,99,0.3360746654946156,1.2167609831146713,0.0,0,0.005632414545710564,0.0
4.2899999999999965,20,4,0,0,0.0,0.0,0.0,41,98,0.33425752501346956,1.216044616717341,0.0,0,0.005632414545710564,0.0
4.322999999999997,20,4,0,0,0.0,0.0,0.0,41,98,0.33260487864833443,1.2183628460506912,0.0,0,0.005632414545710564,0.0
4.355999999999997,20,4,0,0,0.0,0.0,0.0,41,98,0.33047949867556686,1.2208502363274674,0.0,0,0.005632414545710564,0.0
4.388999999999998,20,4,0,0,0.0,0.0,0.0,40,98,0.32794375592871944,1.2238256723623482,0.0,0,0.005632414545710564,0.0
4.421999999999998,20,4,0,0,0.0,0.0,0.0,40,98,0.3242918031729788,1.2231035907329244,0.0,0,0.005632414545710564,0.0
4.454999999999998,20,4,0,0,0.0,0.0,0.0,41,98,0.3203231200265271,1.2209791479670318,0.0,0,0.005632414545710564,0.0
4.487999999999999,20,4,0,0,0.0,0.0,0.0,41,98,0.3169437264127771,1.2191336282467868,0.0,0,0.005632414545710564,0.0
4.520999999999999,20,4,0,0,0.0,0.0,0.0,41,98,0.31378185140935744,1.2126856703035498,0.0,0,0.005632414545710564,0.0
4.553999999999999,20,4,0,0,0.0,0.0,0.0,41,97,0.3121328495587285,1.2072740823925083,0.0,0,0.005632414545710564,0.0
4.587,20,4,0,0,0.0,0.0,0.0,40,97,0.3114608479012125,1.2026108375334368,0.0,0,0.005632414545710564,0.0
4.62,20,4,0,0,0.0,0.0,0.0,40,96,0.32621737866297873,1.1978226652935837,0.0,0,0.005632414545710564,0.0
4.6530000000000005,20,4,0,0,0.0,0.0,0.0,39,96,0.3336067150170718,1.1936600091448386,0.0,0,0.005632414545710564,0.0
4.686000000000001,20,4,0,0,0.0,0.0,0.0,38,96,0.3392562580520961,1.1892684245533878,0.0,0,0.005632414545710564,0.0
4.719000000000001,20,4,0,0,0.0,0.0,0.0,39,95,0.3427501930113778,1.1847504298506555,0.0,0,0.005632414545710564,0.0
